index,task_01,task_02,task_03,task_04,task_05,task_06,task_07,task_08,task_09,task_10
0,https://emordle-mturk.s3.us-east-2.amazonaws.com/small-swing/07.gif,https://emordle-mturk.s3.us-east-2.amazonaws.com/small-swing/07.gif,https://emordle-mturk.s3.us-east-2.amazonaws.com/small-swing/14.gif,https://emordle-mturk.s3.us-east-2.amazonaws.com/small-swing/09.gif,https://emordle-mturk.s3.us-east-2.amazonaws.com/small-swing/04.gif,https://emordle-mturk.s3.us-east-2.amazonaws.com/small-swing/02.gif,https://emordle-mturk.s3.us-east-2.amazonaws.com/small-swing/10.gif,https://emordle-mturk.s3.us-east-2.amazonaws.com/small-swing/00.gif,https://emordle-mturk.s3.us-east-2.amazonaws.com/small-swing/05.gif,https://emordle-mturk.s3.us-east-2.amazonaws.com/small-swing/12.gif
1,https://emordle-mturk.s3.us-east-2.amazonaws.com/small-dance/07.gif,https://emordle-mturk.s3.us-east-2.amazonaws.com/small-dance/12.gif,https://emordle-mturk.s3.us-east-2.amazonaws.com/small-dance/05.gif,https://emordle-mturk.s3.us-east-2.amazonaws.com/small-dance/04.gif,https://emordle-mturk.s3.us-east-2.amazonaws.com/small-dance/07.gif,https://emordle-mturk.s3.us-east-2.amazonaws.com/small-dance/09.gif,https://emordle-mturk.s3.us-east-2.amazonaws.com/small-dance/00.gif,https://emordle-mturk.s3.us-east-2.amazonaws.com/small-dance/10.gif,https://emordle-mturk.s3.us-east-2.amazonaws.com/small-dance/14.gif,https://emordle-mturk.s3.us-east-2.amazonaws.com/small-dance/02.gif
2,https://emordle-mturk.s3.us-east-2.amazonaws.com/small-wave/07.gif,https://emordle-mturk.s3.us-east-2.amazonaws.com/small-wave/09.gif,https://emordle-mturk.s3.us-east-2.amazonaws.com/small-wave/04.gif,https://emordle-mturk.s3.us-east-2.amazonaws.com/small-wave/14.gif,https://emordle-mturk.s3.us-east-2.amazonaws.com/small-wave/02.gif,https://emordle-mturk.s3.us-east-2.amazonaws.com/small-wave/12.gif,https://emordle-mturk.s3.us-east-2.amazonaws.com/small-wave/05.gif,https://emordle-mturk.s3.us-east-2.amazonaws.com/small-wave/07.gif,https://emordle-mturk.s3.us-east-2.amazonaws.com/small-wave/00.gif,https://emordle-mturk.s3.us-east-2.amazonaws.com/small-wave/10.gif
3,https://emordle-mturk.s3.us-east-2.amazonaws.com/small-split/07.gif,https://emordle-mturk.s3.us-east-2.amazonaws.com/small-split/14.gif,https://emordle-mturk.s3.us-east-2.amazonaws.com/small-split/05.gif,https://emordle-mturk.s3.us-east-2.amazonaws.com/small-split/12.gif,https://emordle-mturk.s3.us-east-2.amazonaws.com/small-split/07.gif,https://emordle-mturk.s3.us-east-2.amazonaws.com/small-split/00.gif,https://emordle-mturk.s3.us-east-2.amazonaws.com/small-split/02.gif,https://emordle-mturk.s3.us-east-2.amazonaws.com/small-split/09.gif,https://emordle-mturk.s3.us-east-2.amazonaws.com/small-split/04.gif,https://emordle-mturk.s3.us-east-2.amazonaws.com/small-split/10.gif
